protein1	protein2	cost
EP300	MDM2	214.93870623705632
EP300	KAT2B	80.12348742163913
EP300	CCND1	88.99307912627773
EP300	FOXO1	62.92760972886197
EP300	TERF2	82.58208241630024
EP300	TP73	99.4972872266873
EP300	SMAD2	112.95851643632078
EP300	DDX5	87.20747136241475
EP300	RUNX2	69.56909014151776
EP300	MYB	39.828428719806745
EP300	MED23	88.99307912627773
EP300	FOXO3	69.56909014151776
EP300	MYOD1	44.72704695861782
EP300	NR4A1	45.2246175442858
EP300	CEBPB	78.48451859134138
EP300	DDB1	137.54797742609364
EP300	HIPK2	71.02740090641348
EP300	NOTCH1	99.4972872266873
EP300	PDHX	19.825671318654148
EP300	EID2	20.975869909620663
EP300	KLF5	75.62957450659948
EP300	SS18	61.43702046182999
EP300	SKP2	115.84302790065763
EP300	PRKCA	54.27620762366717
EP300	ATXN3	77.2247394685149
EP300	PPARD	38.91691230120465
EP300	PTMA	33.16576240889577
EP300	SOX2	97.26110757648496
EP300	CHD4	110.99387062819831
EP300	RUNX1	66.96855474333951
EP300	AHR	71.13263570507765
EP300	YY1	106.95636998373946
EP300	SMAD1	74.24273906121161
EP300	ATF5	25.321518787141017
EP300	RPS6KB1	62.92760972886197
EP300	SETD1A	47.94258286747148
EP300	HSPA5	104.80656348916474
EP300	HIST2H2BE	52.06990198130732
EP300	ELK1	38.325480874281226
EP300	MEF2A	35.777696467714705
EP300	BCL6	64.09505264666988
EP300	SP3	44.49653956313887
EP300	STAT2	49.1927754000454
EP300	CDX2	33.16576240889577
EP300	TWIST1	46.551698853156935
EP300	SIRT1	108.75330475260756
EP300	DTX1	36.33127241641817
EP300	HNRNPU	133.7465919946446
EP300	MAML1	29.164726657479424
EP300	EID1	35.396764577695194
EP300	CITED4	14.832179854379621
EP300	CITED1	19.800477865991823
EP300	STAT6	53.47818499186973
EP300	NFATC2	64.6519730976606
EP300	IRF3	64.6519730976606
EP300	TRERF1	29.664359708759243
EP300	KLF4	46.903471005104166
EP300	IRF2	53.47818499186973
EP300	IRF1	55.496935314099154
EP300	PPARA	49.60222209355498
EP300	NAP1L1	46.903471005104166
EP300	SUMO2	96.1235116283832
EP300	COPS2	99.4972872266873
EP300	HIST1H1A	74.16089927189812
EP300	BRD4	61.07685163868442
EP300	DDB2	83.28632146703708
EP300	NFYA	44.49653956313887
EP300	GRIP1	55.496935314099154
EP300	PPP2R5C	36.56337092839563
EP300	APEX1	57.44478556396543
EP300	PTGS2	44.49653956313887
EP300	FBXO3	31.949568853604536
EP300	SRY	20.975869909620663
EP300	HIST4H4	56.29370029728998
EP300	SENP3	56.52641695477092
EP300	KLF2	23.19081785250098
EP300	NFATC1	67.96958690389371
EP300	PAX8	9.725230698700559
EP300	SMAD5	44.49653956313887
EP300	EPAS1	64.6519730976606
EP300	ZEB1	36.47875345049666
EP300	POU3F2	18.81780340732467
EP300	GCKR	20.975869909620663
EP300	SNAI1	79.87373296489451
EP300	PKM	57.49309666310244
EP300	CXXC1	54.93812212206448
EP300	NAP1L4	34.8080027975127
EP300	WDR82	64.6519730976606
EP300	FOXP3	51.38017818957011
EP300	SRCAP	36.98403093298002
EP300	TRIM25	164.49683214462752
EP300	H3F3A	78.48451859134138
EP300	HIST1H3A	96.15708146290622
EP300	HIST1H4A	98.76384857222627
EP300	PLAGL1	18.85167740887678
EP300	HIST2H2AC	62.91133036621846
